GEOID,total_population,opportunity_score,economic_score,health_score,housing_score,tier
17031830008,4234,72.64,78.14,69.43,61.8,High
17031803012,2014,73.26,81.02,76.42,40.03,High
17031802607,1217,76.17,80.34,80.31,52.64,High
17031830500,3948,60.37,70.8,50.25,49.22,Moderate
17031840100,2880,67.02,73.79,70.15,37.18,High
17031840400,3434,68.22,74.43,66.26,52.09,High
17031839200,2375,59.42,68.54,58.67,30.75,Moderate
17031835500,1393,35.29,49.33,25.0,12.51,Low
17031804404,5567,69.5,74.76,63.59,65.71,High
17031804804,5744,71.79,76.41,72.73,54.17,High
17031030604,2921,70.01,79.36,76.4,23.97,High
17031031502,4622,60.15,72.22,58.94,22.75,Moderate
17031081402,5942,81.16,88.41,88.06,40.88,Very High
17031080201,3236,79.56,85.73,86.32,43.26,High
17031760802,2191,71.33,75.68,74.2,50.14,High
17031140601,2762,63.32,73.4,62.42,31.81,Moderate
17031070102,2980,80.57,90.65,88.16,29.29,Very High
17031210502,4412,66.45,75.7,67.48,33.25,High
17031540102,3357,37.84,49.47,29.26,19.05,Low
17031700402,3417,67.84,75.72,59.28,61.58,High
17031830100,3199,66.61,72.97,62.3,55.48,High
17031830201,4822,57.3,65.52,56.0,32.93,Moderate
17031830300,5062,59.08,72.19,47.73,41.88,Moderate
17031830400,3778,59.37,65.82,54.44,49.34,Moderate
17031812700,2981,75.01,82.59,78.74,41.07,High
17031030800,4236,76.74,84.89,82.77,35.52,High
17031031100,4898,72.34,81.53,78.59,27.1,High
17031811702,5516,64.1,71.44,56.95,56.3,Moderate
17031812100,4836,78.31,82.66,78.81,62.69,High
17031821800,5235,74.91,79.51,73.73,62.32,High
17031821900,5426,76.39,80.23,74.52,67.98,High
17031822000,4299,68.32,73.8,66.44,54.45,High
17031822101,4565,67.93,72.43,65.25,59.13,High
17031828601,4391,74.93,79.04,74.83,61.45,High
17031828602,4310,72.8,79.36,69.12,59.52,High
17031828701,4399,61.9,69.04,55.88,52.16,Moderate
17031828702,3963,62.62,69.02,59.21,49.23,Moderate
17031822900,2084,68.48,74.33,68.8,48.2,High
17031031300,6853,69.54,76.85,69.96,44.19,High
17031031900,2417,77.61,88.08,84.66,26.24,High
17031813500,6298,63.99,73.05,54.97,54.8,Moderate
17031813600,5712,63.01,72.97,53.45,52.12,Moderate
17031822102,4663,70.67,75.36,68.75,59.5,High
17031822200,3805,65.09,69.37,62.03,57.97,High
17031822301,3664,69.92,74.8,65.73,63.46,High
17031822302,4485,70.64,74.97,69.93,57.88,High
17031822500,4295,71.88,75.89,70.6,61.51,High
17031828900,3769,54.42,64.6,46.88,38.11,Moderate
17031828802,3252,65.72,72.59,60.73,54.47,High
17031813900,6821,61.42,71.48,50.88,52.46,Moderate
17031822601,4545,73.87,77.9,71.35,66.32,High
17031822701,4905,72.03,77.04,70.78,58.28,High
17031822702,3364,70.44,75.8,71.4,50.35,High
17031822801,3116,73.82,78.45,77.75,49.2,High
17031823002,5196,67.33,73.04,67.26,48.47,High
17031814000,4507,60.6,71.86,51.75,43.75,Moderate
17031814100,4793,59.65,73.26,48.61,40.05,Moderate
17031814200,8122,64.41,71.07,54.4,65.54,Moderate
17031814300,4740,56.44,69.16,42.4,46.81,Moderate
17031814400,7652,62.96,70.05,53.78,60.73,Moderate
17031823101,4317,63.41,69.39,61.2,48.61,Moderate
17031823302,5705,65.11,71.93,62.0,49.63,High
17031823303,4255,65.5,72.53,61.19,52.13,High
17031823500,4426,65.52,71.6,64.73,47.09,High
17031814500,5862,67.65,77.04,56.42,62.59,High
17031814600,5956,67.62,73.19,62.61,60.72,High
17031814800,6108,68.57,75.29,65.05,54.36,High
17031814900,6566,64.26,74.95,60.16,38.2,Moderate
17031815000,3839,64.33,76.66,58.94,35.81,Moderate
17031815100,4801,63.87,70.08,60.06,52.07,Moderate
17031823602,6164,70.73,74.5,67.95,64.63,High
17031823604,3281,76.12,79.67,76.69,62.94,High
17031823605,4028,75.91,80.39,76.41,59.8,High
17031823702,5805,69.13,74.36,69.96,49.74,High
17031160501,3270,66.38,78.1,63.98,32.91,High
17031815200,7542,65.58,71.94,59.07,59.6,High
17031815300,3538,72.25,78.82,70.09,55.4,High
17031815400,5318,67.77,76.83,64.59,45.0,High
17031815500,7817,69.2,72.71,61.8,74.76,High
17031823704,4058,72.0,76.57,68.87,64.02,High
17031823705,4770,72.14,78.47,70.65,54.54,High
17031815800,1720,74.12,80.52,77.06,45.96,High
17031815900,4756,72.12,80.05,73.81,41.75,High
17031816000,3441,73.83,81.32,78.06,38.96,High
17031816200,4634,71.36,77.29,70.83,52.82,High
17031824507,3650,70.42,75.7,70.12,53.54,High
17031824602,6591,72.49,76.49,69.67,65.74,High
17031824701,3532,63.64,70.48,61.43,46.05,Moderate
17031824702,5530,66.19,70.71,61.58,61.84,High
17031825200,1921,66.93,72.31,65.13,53.17,High
17031040100,4011,76.83,85.93,79.98,39.18,High
17031040300,3063,69.8,76.94,71.71,41.52,High
17031816300,4861,61.28,70.24,52.39,52.16,Moderate
17031816401,3761,57.57,70.13,51.65,29.52,Moderate
17031816402,4980,58.1,73.25,40.32,49.14,Moderate
17031816600,4370,56.46,68.0,45.41,43.77,Moderate
17031816700,2810,60.19,70.11,54.11,41.32,Moderate
17031825503,7559,65.58,67.85,60.04,70.93,High
17031825504,3222,62.59,74.58,51.99,47.38,Moderate
17031825505,5346,63.08,69.21,54.68,62.24,Moderate
17031825700,4028,59.24,68.67,50.42,48.41,Moderate
17031808800,3921,84.2,91.53,86.71,53.93,Very High
17031611600,1995,28.67,19.88,42.89,24.81,Low
17031340400,1630,61.43,72.28,61.78,24.41,Moderate
17031816800,5536,68.63,74.93,61.35,64.63,High
17031770700,2290,66.65,77.4,69.57,23.98,High
17031806102,4325,73.8,77.48,76.0,56.39,High
17031430700,2256,51.53,60.5,54.22,15.33,Moderate
17031808100,3837,71.83,76.3,71.48,57.76,High
17031804810,6552,75.99,79.98,77.71,58.68,High
17031808500,4334,79.61,82.45,81.35,66.09,High
17031800200,6420,87.41,92.37,86.98,71.88,Very High
17031191000,2556,61.5,73.68,53.72,39.07,Moderate
17031560400,1744,60.46,69.41,51.24,52.16,Moderate
17031710700,3412,47.11,54.45,43.85,30.3,Moderate
17031550100,6201,45.99,38.76,52.99,53.77,Moderate
17031283200,1727,67.7,76.22,74.99,22.29,High
17031100500,5814,79.84,83.35,79.65,68.59,High
17031801607,5753,83.27,88.54,84.55,62.76,Very High
17031804106,7232,80.23,80.83,83.28,71.09,Very High
17031801606,7456,85.08,87.36,86.36,74.48,Very High
17031819200,6690,68.88,73.84,62.74,66.7,High
17031815600,5462,72.21,79.52,68.15,57.29,High
17031818000,4153,64.27,71.32,61.33,47.64,Moderate
17031812000,5442,83.08,88.38,83.09,65.4,Very High
17031829402,3089,60.36,69.33,55.65,41.45,Moderate
17031811302,3988,57.7,69.93,50.6,33.53,Moderate
17031802802,6530,79.9,83.2,79.78,69.2,High
17031829700,2904,58.37,66.79,53.29,42.13,Moderate
17031830003,8195,74.38,78.24,67.45,77.71,High
17031823703,9197,68.34,69.99,65.04,70.54,High
17031829800,6613,78.63,81.55,76.83,73.13,High
17031804607,7334,79.31,83.06,78.88,67.82,High
17031823901,4020,76.76,81.26,75.54,64.61,High
17031804709,8425,75.3,80.76,74.73,58.42,High
17031826800,4942,57.07,65.75,49.09,46.76,Moderate
17031710300,1382,54.77,68.89,48.49,22.33,Moderate
17031825600,5332,57.87,62.88,51.66,55.63,Moderate
