GEOID,median_household_income,median_home_value,total_population,poverty_rate,unemployment_rate,college_rate,renter_rate,uninsured_pct,diabetes_pct,physical_inactivity_pct,poor_mental_health_pct,obesity_pct
17031301702,43632,221900,4086,0.1643460964694182,0.09754738015607581,0.06669463087248322,0.5970381917381138,0.38799999999999996,0.17300000000000001,0.43,0.185,0.401
17031700401,81065,231100,6218,0.19475715664200707,0.1111111111111111,0.17367149758454106,0.20817843866171004,0.16,0.13699999999999998,0.27399999999999997,0.165,0.37
17031803612,66000,282100,3470,0.27002881844380405,0.055308641975308645,0.3514407179971658,0.7761976047904192,0.184,0.10400000000000001,0.26899999999999996,0.17800000000000002,0.335
17031803702,109779,385300,6154,0.06826386609780112,0.04612601748567983,0.636265398746488,0.30480847595762023,0.055999999999999994,0.08800000000000001,0.16,0.125,0.252
17031804713,97781,279900,5097,0.034137728075338436,0.036616161616161616,0.6188711516533637,0.678268630075859,0.068,0.063,0.157,0.132,0.221
17031804309,86885,240400,3311,0.05703657780533168,0.030927835051546393,0.1942690626517727,0.16480162767039674,0.156,0.11199999999999999,0.25,0.154,0.302
17031804510,80801,240800,5389,0.09406952965235174,0.06378378378378378,0.17449095022624433,0.3289569657184537,0.247,0.111,0.28600000000000003,0.16,0.325
17031837100,48880,243500,1515,0.23564356435643563,0.1613316261203585,0.2876712328767123,0.6208393632416788,0.128,0.159,0.28300000000000003,0.166,0.376
17031837400,51250,326300,2186,0.38426349496797807,0.2441534144059869,0.19957386363636365,0.5443548387096774,0.13,0.156,0.3,0.191,0.419
17031837800,58681,481000,2875,0.3106488011283498,0.12133072407045009,0.41409691629955947,0.7683024939662108,0.098,0.11900000000000001,0.237,0.179,0.38299999999999995
17031837300,18949,253700,2515,0.5210896309314587,0.1845703125,0.10886377156454491,0.7921653971708379,0.16699999999999998,0.19399999999999998,0.386,0.223,0.47700000000000004
17031841500,26950,166400,1909,0.45887899423782086,0.20192307692307693,0.2221246707638279,0.7133757961783439,0.17300000000000001,0.177,0.38299999999999995,0.235,0.465
